"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"","","","","","","","","","","","","","","","","","","","","","written",1,"0.01310272536687631%","'remote",1,"0.0231000231000231%","difference",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","adequate",1,"0.01310272536687631%","measurement",1,"0.0231000231000231%","non-participation",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","commensurate",1,"0.01310272536687631%","technologies'",1,"0.0231000231000231%","indicating",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","reduction",1,"0.01310272536687631%","change",1,"0.0231000231000231%","acceptability",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","mediators",1,"0.01310272536687631%","radically",1,"0.0231000231000231%","challenges",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","engage",1,"0.01310272536687631%","way",1,"0.0231000231000231%","reduced",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","discontinue",1,"0.01310272536687631%","undertaken",1,"0.0231000231000231%","spent",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","demonstrated",1,"0.01310272536687631%","measurements",1,"0.0231000231000231%","evening",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","reducing",1,"0.01310272536687631%","behavioural",1,"0.0231000231000231%","negative",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","original",1,"0.01310272536687631%","biological",1,"0.0231000231000231%","response",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","calls",1,"0.01310272536687631%","individual",1,"0.0231000231000231%","interest",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","condensed",1,"0.01310272536687631%","daily",1,"0.0231000231000231%","shift",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","follow-ups",1,"0.01310272536687631%","current",1,"0.0231000231000231%","attitudes",1,"0.0425531914893617%"
"","","","","","","","","","","","","","","","","","","","","","neither",1,"0.01310272536687631%","scales",1,"0.0231000231000231%","alpha",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","feasible",1,"0.01310272536687631%","divergence",1,"0.0231000231000231%","called",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","called",1,"0.01310272536687631%","normative",1,"0.0231000231000231%","building",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","star-virtual",1,"0.01310272536687631%","profiles",1,"0.0231000231000231%","nostalgia",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","leverages",1,"0.01310272536687631%","objectively",1,"0.0231000231000231%","first",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","email",1,"0.01310272536687631%","presence",1,"0.0231000231000231%","-ever",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","washington",1,"0.01310272536687631%","incipient",1,"0.0231000231000231%","infused",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","fidelity",1,"0.01310272536687631%","even",1,"0.0231000231000231%","cst",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","star",1,"0.01310272536687631%","adls",1,"0.0231000231000231%","main",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","principles",1,"0.01310272536687631%","threshold",1,"0.0231000231000231%","foster",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","ascertain",1,"0.01310272536687631%","disability",1,"0.0231000231000231%","triad",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","electronically",1,"0.01310272536687631%","created",1,"0.0231000231000231%","qol",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","orientation",1,"0.01310272536687631%","uniform",1,"0.0231000231000231%","responsive",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","where",1,"0.01310272536687631%","neurological",1,"0.0231000231000231%","affect",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","ongoing",1,"0.01310272536687631%","index",1,"0.0231000231000231%","professional",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","telephone",1,"0.01310272536687631%","npi",1,"0.0231000231000231%","quasi-experimental",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","mailed",1,"0.01310272536687631%","serves",1,"0.0231000231000231%","pretest",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","material",1,"0.01310272536687631%","view",1,"0.0231000231000231%","posttest",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","links",1,"0.01310272536687631%","making",1,"0.0231000231000231%","four-week",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","websites",1,"0.01310272536687631%","purposes",1,"0.0231000231000231%","care-patient",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","messages",1,"0.01310272536687631%","millions",1,"0.027570995312930797%","then",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","interact",1,"0.01310272536687631%","causing",1,"0.027570995312930797%","four",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","primarily",1,"0.01310272536687631%","suffering",1,"0.027570995312930797%","carer-patient",1,"0.06802721088435373%"
"","","","","","","","","","","","","","","","","","","","","","contact",1,"0.01310272536687631%","due",1,"0.027570995312930797%","serious",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","home-visit",1,"0.01310272536687631%","self",1,"0.027570995312930797%","limiting",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","preparation",1,"0.01310272536687631%","progressive",1,"0.027570995312930797%","illnesses",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","travel",1,"0.01310272536687631%","dependency",1,"0.027570995312930797%","cure",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","responding",1,"0.01310272536687631%","neuropsychiatric",1,"0.027570995312930797%","fifth-leading",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","emails",1,"0.01310272536687631%","emotional",1,"0.027570995312930797%","cause",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","coordinating",1,"0.01310272536687631%","financial",1,"0.027570995312930797%","death",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","physicians",1,"0.01310272536687631%","strain",1,"0.027570995312930797%","majority",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","hypotheses",1,"0.01310272536687631%","now",1,"0.027570995312930797%","die",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","h1",1,"0.01310272536687631%","propose",1,"0.027570995312930797%","homes",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","h2",1,"0.01310272536687631%","triggered",1,"0.027570995312930797%","miller",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","secondary",1,"0.01310272536687631%","hospitalization",1,"0.027570995312930797%","et",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","self-efficacy",1,"0.01310272536687631%","burdensome",1,"0.027570995312930797%","al",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","cg-pwd",1,"0.01310272536687631%","augment",1,"0.027570995312930797%","u",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","dyads",1,"0.01310272536687631%","interdisciplinary",1,"0.027570995312930797%","s",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","low",1,"0.01310272536687631%","teams",1,"0.027570995312930797%","nh",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","intensity",1,"0.01310272536687631%","addresses",1,"0.027570995312930797%","received",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","ideal",1,"0.01310272536687631%","prognostic",1,"0.027570995312930797%","facility",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","setting",1,"0.01310272536687631%","management",1,"0.027570995312930797%","receipt",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","because",1,"0.01310272536687631%","transition",1,"0.027570995312930797%","poorer",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","electronic",1,"0.01310272536687631%","rct",1,"0.027570995312930797%","end-of-life",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","record",1,"0.01310272536687631%","424",1,"0.027570995312930797%","hospital",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","prescription",1,"0.01310272536687631%","hospitalized",1,"0.027570995312930797%","decedents",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","demographic",1,"0.01310272536687631%","global",1,"0.027570995312930797%","medicare",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","identify",1,"0.01310272536687631%","deterioration",1,"0.027570995312930797%","post-acute",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","real-time",1,"0.01310272536687631%","6-7",1,"0.027570995312930797%","service",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","automated",1,"0.01310272536687631%","significant",1,"0.027570995312930797%","delivered",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","troll",1,"0.01310272536687631%","co-morbidity",1,"0.027570995312930797%","intense",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","done",1,"0.01310272536687631%","geographically",1,"0.027570995312930797%","aggressive",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","previously",1,"0.01310272536687631%","cooperative",1,"0.027570995312930797%","disease-modifying",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","step",1,"0.01310272536687631%","north",1,"0.027570995312930797%","therapies",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","could",1,"0.01310272536687631%","carolina",1,"0.027570995312930797%","regardless",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","integrated",1,"0.01310272536687631%","colorado",1,"0.027570995312930797%","expectancy",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","capitated",1,"0.01310272536687631%","massachusetts",1,"0.027570995312930797%","precludes",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","payments",1,"0.01310272536687631%","harvard",1,"0.027570995312930797%","hospice",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","accountable",1,"0.01310272536687631%","indiana",1,"0.027570995312930797%","pc",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","portals",1,"0.01310272536687631%","hypotheses",1,"0.027570995312930797%","alternative",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","today",1,"0.01310272536687631%","patient-centered",1,"0.027570995312930797%","pragmatic",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","near-retirees",1,"0.01310272536687631%","hospice",1,"0.027570995312930797%","utilized",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","familiar",1,"0.01310272536687631%","participate",1,"0.030284675953967295%","inform",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","applications",1,"0.01310272536687631%","self-guided",1,"0.030284675953967295%","admission",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","pioneered",1,"0.01310272536687631%","crisis",1,"0.030284675953967295%","process",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","efforts",1,"0.01310272536687631%","identical",1,"0.030284675953967295%","1-page",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","site",1,"0.01310272536687631%","self-administered",1,"0.030284675953967295%","summary",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","mental",1,"0.01310272536687631%","caregiver-specific",1,"0.030284675953967295%","sheet",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","network",1,"0.01310272536687631%","mastery",1,"0.030284675953967295%","detailing",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","inform",1,"0.01310272536687631%","response",1,"0.030284675953967295%","contact",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","future",1,"0.01310272536687631%","stress",1,"0.030284675953967295%","should",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","multi-site",1,"0.01310272536687631%","employ",1,"0.030284675953967295%","elect",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","across",1,"0.01310272536687631%","process",1,"0.030284675953967295%","opt-out",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","13",1,"0.01310272536687631%","participation",1,"0.030284675953967295%","participating",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","enrollees",1,"0.01310272536687631%","engagement",1,"0.030284675953967295%","asking",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","especially",1,"0.043744531933508315%","interventions",1,"0.030284675953967295%","14",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","although",1,"0.043744531933508315%","arms",1,"0.030284675953967295%","21",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","few",1,"0.043744531933508315%","surveys",1,"0.030284675953967295%","asked",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","possibilities",1,"0.043744531933508315%","clinicians",1,"0.030284675953967295%","times",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","prevent",1,"0.043744531933508315%","responsible",1,"0.030284675953967295%","those",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","slow",1,"0.043744531933508315%","programming",1,"0.030284675953967295%","groups",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","neurodegenerative",1,"0.043744531933508315%","records",1,"0.030284675953967295%","deidentified",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","pathologies",1,"0.043744531933508315%","storage",1,"0.030284675953967295%","demographics",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","non-invasive",1,"0.043744531933508315%","protocol",1,"0.003857727027235553%","review",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","techniques",1,"0.043744531933508315%","-an",1,"0.003857727027235553%","records",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","gained",1,"0.043744531933508315%","bio-behavioral",1,"0.003857727027235553%","enter",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","low-intensity",1,"0.043744531933508315%","-using",1,"0.003857727027235553%","de-identified",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","ma",1,"0.043744531933508315%","state-of-the",1,"0.003857727027235553%","electronic",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","electrical",1,"0.043744531933508315%","science",1,"0.003857727027235553%","capture",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","large-area",1,"0.043744531933508315%","long",1,"0.003857727027235553%","database",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","electrodes",1,"0.043744531933508315%","term",1,"0.003857727027235553%","acts",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","placed",1,"0.043744531933508315%","community-based",1,"0.003857727027235553%","assists",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","various",1,"0.043744531933508315%","groups",1,"0.003857727027235553%","record",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","surface",1,"0.043744531933508315%","provided",1,"0.003857727027235553%","prevent",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","areas",1,"0.043744531933508315%","competency",1,"0.003857727027235553%","directed",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","head",1,"0.043744531933508315%","iii",1,"0.003857727027235553%","making",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","moreover",1,"0.043744531933508315%","followed",1,"0.003857727027235553%","anticipates",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","according",1,"0.043744531933508315%","months",1,"0.003857727027235553%","encounters",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","safety-related",1,"0.043744531933508315%","non-inferiority",1,"0.003857727027235553%","single",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","meta-analyses",1,"0.043744531933508315%","regardless",1,"0.003857727027235553%","made",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","very",1,"0.043744531933508315%","1a",1,"0.003857727027235553%","allowances",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","safe",1,"0.043744531933508315%","anytime",1,"0.003857727027235553%","depending",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","major",1,"0.043744531933508315%","anywhere",1,"0.003857727027235553%","continuing",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","side",1,"0.043744531933508315%","aid",1,"0.003857727027235553%","discussions",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","provided",1,"0.043744531933508315%","rich",1,"0.003857727027235553%","consists",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","internationally",1,"0.043744531933508315%","keep",1,"0.003857727027235553%","resources",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","established",1,"0.043744531933508315%","engaged",1,"0.003857727027235553%","specialty",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","safety",1,"0.043744531933508315%","easy",1,"0.003857727027235553%","comparison",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","protocols",1,"0.043744531933508315%","packaging",1,"0.003857727027235553%","test",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","taken",1,"0.043744531933508315%","interoperability",1,"0.003857727027235553%","improves",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","account",1,"0.043744531933508315%","standards",1,"0.003857727027235553%","chosen",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","recently",1,"0.043744531933508315%","shareable",1,"0.003857727027235553%","attention",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","investigated",1,"0.043744531933508315%","object",1,"0.003857727027235553%","because",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","elderly",1,"0.043744531933508315%","scorm",1,"0.003857727027235553%","size",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","several",1,"0.043744531933508315%","specifications",1,"0.003857727027235553%","outcome",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","having",1,"0.043744531933508315%","repurposing",1,"0.003857727027235553%","phone",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","shown",1,"0.043744531933508315%","sharing",1,"0.003857727027235553%","secured",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","encouraging",1,"0.043744531933508315%","institutions",1,"0.003857727027235553%","online",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","working",1,"0.043744531933508315%","accommodate",1,"0.003857727027235553%","template",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","curves",1,"0.043744531933508315%","diversity",1,"0.003857727027235553%","minimize",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","modulation",1,"0.043744531933508315%","hyperlearning",1,"0.003857727027235553%","missing",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","implement",1,"0.043744531933508315%","four",1,"0.003857727027235553%","points",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","main",1,"0.043744531933508315%","begin",1,"0.003857727027235553%","entered",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","objective",1,"0.043744531933508315%","objectives",1,"0.003857727027235553%","managed",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","efficiency",1,"0.043744531933508315%","follow",1,"0.003857727027235553%","ra",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","maintained",1,"0.043744531933508315%","required",1,"0.003857727027235553%","project",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","purpose",1,"0.043744531933508315%","self-directed",1,"0.003857727027235553%","manager",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","studied",1,"0.043744531933508315%","mini-lecture",1,"0.003857727027235553%","pi",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","analyzing",1,"0.043744531933508315%","component",1,"0.003857727027235553%","caregiver",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","modifications",1,"0.043744531933508315%","major",1,"0.003857727027235553%","12-item",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","familiarity",1,"0.043744531933508315%","since",1,"0.003857727027235553%","survey",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","false",1,"0.043744531933508315%","take",1,"0.003857727027235553%","five",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","aids",1,"0.02334267040149393%","his",1,"0.003857727027235553%","dimensions",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","play",1,"0.02334267040149393%","her",1,"0.003857727027235553%","emotional",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","supporting",1,"0.02334267040149393%","going",1,"0.003857727027235553%","spiritual",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","appointments",1,"0.02334267040149393%","embedded",1,"0.003857727027235553%","provision",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","body",1,"0.02334267040149393%","reasoning",1,"0.003857727027235553%","validated",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","scientific",1,"0.02334267040149393%","problem-solving",1,"0.003857727027235553%","10-item",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","work",1,"0.02334267040149393%","vignettes",1,"0.003857727027235553%","sdms'",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","suggesting",1,"0.02334267040149393%","requiring",1,"0.003857727027235553%","4-point",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","traditional",1,"0.02334267040149393%","synthesis",1,"0.003857727027235553%","disagree",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","paper-based",1,"0.02334267040149393%","teacher-made",1,"0.003857727027235553%","agree",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","to-do-lists",1,"0.02334267040149393%","pre-and",1,"0.003857727027235553%","uses",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","accumulation",1,"0.02334267040149393%","post-tests",1,"0.003857727027235553%","prior",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","retrieving",1,"0.02334267040149393%","attainment",1,"0.003857727027235553%","timeframe",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","remembering",1,"0.02334267040149393%","highly",1,"0.003857727027235553%","elements",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","may",1,"0.02334267040149393%","featuring",1,"0.003857727027235553%","decision-making",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","overcome",1,"0.02334267040149393%","integrated",1,"0.003857727027235553%","understanding",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","organized",1,"0.02334267040149393%","evaluations",1,"0.003857727027235553%","items",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","files",1,"0.02334267040149393%","engage",1,"0.003857727027235553%","yielding",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","search",1,"0.02334267040149393%","application",1,"0.003857727027235553%","10-40",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","proposes",1,"0.02334267040149393%","simulated",1,"0.003857727027235553%","valid",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","train",1,"0.02334267040149393%","require",1,"0.003857727027235553%","reliable",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","goal",1,"0.02334267040149393%","45-60",1,"0.003857727027235553%","9",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","obtain",1,"0.02334267040149393%","separately",1,"0.003857727027235553%","nurse",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","preliminary",1,"0.02334267040149393%","throughout",1,"0.003857727027235553%","rated",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","group-based",1,"0.02334267040149393%","curriculum",1,"0.003857727027235553%","6-point",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","demonstrable",1,"0.02334267040149393%","beginning",1,"0.003857727027235553%","never",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","target",1,"0.02334267040149393%","having",1,"0.003857727027235553%","45",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","behaviors",1,"0.02334267040149393%","front-loaded",1,"0.003857727027235553%","better",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","goal-directed",1,"0.02334267040149393%","intensely",1,"0.003857727027235553%","provider",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","involving",1,"0.02334267040149393%","01",1,"0.003857727027235553%","discuss",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","packet",1,"0.02334267040149393%","instructional",1,"0.003857727027235553%","trajectories",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","spaced",1,"0.02334267040149393%","drexel",1,"0.003857727027235553%","communicate",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","apart",1,"0.02334267040149393%","specialists",1,"0.003857727027235553%","patient-directed",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","ucd",1,"0.02334267040149393%","experts",1,"0.003857727027235553%","guide",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","manualized",1,"0.02334267040149393%","nurses",1,"0.003857727027235553%","illness-related",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","personnel",1,"0.02334267040149393%","professionals",1,"0.003857727027235553%","psycho-spiritual",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","administer",1,"0.02334267040149393%","penn",1,"0.003857727027235553%","mitigate",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","assistant",1,"0.02334267040149393%","jefferson",1,"0.003857727027235553%","suffering",1,"0.011976047904191617%"
"","","","","","","","","","","","","","","","","","","","","","adherence",1,"0.02334267040149393%","anticipate",1,"0.003857727027235553%","conduct",1,"0.02958579881656805%"
"","","","","","","","","","","","","","","","","","","","","","extracted",1,"0.02334267040149393%","underlying",1,"0.003857727027235553%","conducting",1,"0.02958579881656805%"
"","","","","","","","","","","","","","","","","","","","","","asked",1,"0.02334267040149393%","overview",1,"0.003857727027235553%","aims",1,"0.02958579881656805%"
"","","","","","","","","","","","","","","","","","","","","","background",1,"0.02334267040149393%","characteristics",1,"0.003857727027235553%","beneficially",1,"0.02958579881656805%"
"","","","","","","","","","","","","","","","","","","","","","history",1,"0.02334267040149393%","rn",1,"0.003857727027235553%","impacts",1,"0.02958579881656805%"
"","","","","","","","","","","","","","","","","","","","","","traumatic",1,"0.02334267040149393%","ot",1,"0.003857727027235553%","mediated",1,"0.02958579881656805%"
"","","","","","","","","","","","","","","","","","","","","","injury",1,"0.02334267040149393%","permissible",1,"0.003857727027235553%","moderated",1,"0.02958579881656805%"
