"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out",1,"0.04681647940074907%","subcutaneous",1,"0.01532567049808429%","faster",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","day",1,"0.04681647940074907%","injection",1,"0.01532567049808429%","deterioration",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospitalization",1,"0.04681647940074907%","administration",1,"0.01532567049808429%","challenges",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","part",1,"0.04681647940074907%","24",1,"0.01532567049808429%","increased",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","no",1,"0.04681647940074907%","total",1,"0.01532567049808429%","administration",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","follow-up",1,"0.04681647940074907%","14",1,"0.01532567049808429%","pharmacological",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","scheduled",1,"0.04681647940074907%","administrations",1,"0.01532567049808429%","treatments",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","substantial",1,"0.043859649122807015%","baseline",1,"0.01532567049808429%","though",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","portion",1,"0.043859649122807015%","26",1,"0.01532567049808429%","risks",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","covered",1,"0.043859649122807015%","order",1,"0.01532567049808429%","neurleptics",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","develop",1,"0.043859649122807015%","ensure",1,"0.01532567049808429%","population",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","forms",1,"0.043859649122807015%","objectivity",1,"0.01532567049808429%","currently",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","together",1,"0.043859649122807015%","accuracy",1,"0.01532567049808429%","context",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","devastate",1,"0.043859649122807015%","adequately",1,"0.01532567049808429%","non-pharacological",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lives",1,"0.043859649122807015%","trained",1,"0.01532567049808429%","hold",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","millions",1,"0.043859649122807015%","experienced",1,"0.01532567049808429%","significant",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","united",1,"0.043859649122807015%","clinicians",1,"0.01532567049808429%","place",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","states",1,"0.043859649122807015%","raters",1,"0.01532567049808429%","focuses",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cost",1,"0.043859649122807015%","certified",1,"0.01532567049808429%","cognitve",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","us",1,"0.043859649122807015%","administer",1,"0.01532567049808429%","precisly",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","total",1,"0.043859649122807015%","certification",1,"0.01532567049808429%","compares",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","over",1,"0.043859649122807015%","materials",1,"0.01532567049808429%","aproaches",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200",1,"0.043859649122807015%","provided",1,"0.01532567049808429%","usual",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","billion",1,"0.043859649122807015%","rater",1,"0.01532567049808429%","principle",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","year",1,"0.043859649122807015%","mitigate",1,"0.01532567049808429%","stimulating",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","metabolism",1,"0.043859649122807015%","breaking",1,"0.01532567049808429%","functions",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","patterns",1,"0.043859649122807015%","evaluator",1,"0.01532567049808429%","dicreases",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","recognized",1,"0.043859649122807015%","involved",1,"0.01532567049808429%","montessori",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","reasonable",1,"0.043859649122807015%","access",1,"0.01532567049808429%","approach",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","necessary",1,"0.043859649122807015%","record",1,"0.01532567049808429%","relies",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","established",1,"0.043859649122807015%","reported",1,"0.01532567049808429%","idea",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cag-00088r",1,"0.043859649122807015%","adverse",1,"0.01532567049808429%","preserved",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","considered",1,"0.043859649122807015%","events",1,"0.01532567049808429%","capacities",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","clear",1,"0.043859649122807015%","assessed",1,"0.01532567049808429%","compensate",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","severe",1,"0.043859649122807015%","throughout",1,"0.01532567049808429%","impariments",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","problems",1,"0.043859649122807015%","monitoring",1,"0.01532567049808429%","aim",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","proteins",1,"0.043859649122807015%","laboratory",1,"0.01532567049808429%","impact",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","employs",1,"0.043859649122807015%","electrocardiogram",1,"0.01532567049808429%","non-pharmalogical",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","scientifically",1,"0.043859649122807015%","ecg",1,"0.01532567049808429%","non-verbal",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rigorous",1,"0.043859649122807015%","vital",1,"0.01532567049808429%","communication",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","design",1,"0.043859649122807015%","sign",1,"0.01532567049808429%","collected",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","prospective",1,"0.043859649122807015%","measurements",1,"0.01532567049808429%","datas",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","multi-centered",1,"0.043859649122807015%","suicidal",1,"0.01532567049808429%","help",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","trial",1,"0.043859649122807015%","ideation",1,"0.01532567049808429%","analyzing",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","such",1,"0.043859649122807015%","behavior",1,"0.01532567049808429%","understanding",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","help",1,"0.043859649122807015%","c-ssrs",1,"0.01532567049808429%","internal",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","distinguish",1,"0.043859649122807015%","pharmacodynamics",1,"0.01532567049808429%","behavioral",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","accurately",1,"0.043859649122807015%","collecting",1,"0.01532567049808429%","states",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","done",1,"0.043859649122807015%","cerebrospinal",1,"0.01532567049808429%","extend",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","practice",1,"0.043859649122807015%","fluid",1,"0.01532567049808429%","relfexions",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","early",1,"0.043859649122807015%","csf",1,"0.01532567049808429%","about",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","related",1,"0.043859649122807015%","collected",1,"0.01532567049808429%","institutions",1,"0.07401924500370095%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","treatments",1,"0.043859649122807015%","pharmacokinetic",1,"0.01532567049808429%","evaluates",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","measuring",1,"0.043859649122807015%","immunogenicity",1,"0.01532567049808429%","produce",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","what",1,"0.043859649122807015%","including",1,"0.01532567049808429%","them",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","extent",1,"0.043859649122807015%","determination",1,"0.01532567049808429%","then",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","actually",1,"0.043859649122807015%","plasma",1,"0.01532567049808429%","applied",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","earlier",1,"0.043859649122807015%","concentrations",1,"0.01532567049808429%","whose",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","appropriate",1,"0.043859649122807015%","sparse",1,"0.01532567049808429%","scores",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","therapy",1,"0.043859649122807015%","antibodies",1,"0.01532567049808429%","expected",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fact",1,"0.043859649122807015%","factor",1,"0.04011231448054553%","lower",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","result",1,"0.043859649122807015%","particular",1,"0.04011231448054553%","pd",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","beneficiaries",1,"0.043859649122807015%","reduction",1,"0.04011231448054553%","after",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","which",1,"0.043859649122807015%","slow",1,"0.04011231448054553%","studying",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","overarching",1,"0.043859649122807015%","waves",1,"0.04011231448054553%","we",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","informed",1,"0.043859649122807015%","deep",1,"0.04011231448054553%","proceed",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","epidemiologically",1,"0.043859649122807015%","deficits",1,"0.04011231448054553%","check",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","segment",1,"0.043859649122807015%","increased",1,"0.04011231448054553%","liking",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","geriatric",1,"0.043859649122807015%","sleepiness",1,"0.04011231448054553%","disliking",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","experiencing",1,"0.043859649122807015%","intended",1,"0.04011231448054553%","depending",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","skills",1,"0.043859649122807015%","possible",1,"0.04011231448054553%","emotion",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","relative",1,"0.043859649122807015%","disturbances",1,"0.04011231448054553%","induced",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","prior",1,"0.043859649122807015%","altered",1,"0.04011231448054553%","films",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","functioning",1,"0.043859649122807015%","breaks",1,"0.04011231448054553%","excitement",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","present",1,"0.043859649122807015%","run-up",1,"0.04011231448054553%","caused",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","proposal",1,"0.043859649122807015%","scan",1,"0.04011231448054553%","hoping",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","we",1,"0.043859649122807015%","head",1,"0.04011231448054553%","find",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","how",1,"0.043859649122807015%","removal",1,"0.04011231448054553%","negative",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","knowledge",1,"0.043859649122807015%","nerve",1,"0.04011231448054553%","taking",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","information",1,"0.043859649122807015%","different",1,"0.04011231448054553%","into",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",1,"0.043859649122807015%","biomarker",1,"0.04011231448054553%","account",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","influences",1,"0.043859649122807015%","was",1,"0.04011231448054553%","difficulties",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","therapeutic",1,"0.043859649122807015%","investigate",1,"0.04011231448054553%","both",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","symptoms",1,"0.043859649122807015%","connection",1,"0.04011231448054553%","ea",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",1,"0.043859649122807015%","open",1,"0.26455026455026454%","ep",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","impacts",1,"0.043859649122807015%","label",1,"0.26455026455026454%","processing",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upon",1,"0.043859649122807015%","6-way",1,"0.26455026455026454%","cognitively",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","long-term",1,"0.043859649122807015%","crossover",1,"0.26455026455026454%","demanding",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","particularly",1,"0.043859649122807015%","pilot",1,"0.26455026455026454%","information",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","findings",1,"0.043859649122807015%","subject",1,"0.26455026455026454%","instead",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","consistent",1,"0.043859649122807015%","single",1,"0.26455026455026454%","it",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ad",1,"0.043859649122807015%","six",1,"0.26455026455026454%","positivity",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","like",1,"0.043859649122807015%","washout",1,"0.26455026455026454%","continues",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","suffering",1,"0.043859649122807015%","dosing",1,"0.26455026455026454%","affect",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","documentable",1,"0.043859649122807015%","underlying",1,"0.07936507936507936%","so",1,"0.0670690811535882%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function",1,"0.043859649122807015%","mechanisms",1,"0.07936507936507936%","main",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","undergo",1,"0.043859649122807015%","focus",1,"0.07936507936507936%","distribution",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","baseline",1,"0.043859649122807015%","clearance",1,"0.07936507936507936%","florbetaben",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neuropsychologic",1,"0.043859649122807015%","metabolites",1,"0.07936507936507936%","neuraceq",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testing",1,"0.043859649122807015%","extracellular",1,"0.07936507936507936%","fbb",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neuroimaging",1,"0.043859649122807015%","space",1,"0.07936507936507936%","brain",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","reports",1,"0.043859649122807015%","wear",1,"0.07936507936507936%","cerebral",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sealed",1,"0.043859649122807015%","actigraph",1,"0.07936507936507936%","angiopathy",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","respect",1,"0.043859649122807015%","determine",1,"0.07936507936507936%","manifested",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","released",1,"0.043859649122807015%","regular",1,"0.07936507936507936%","isolated",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","patients'",1,"0.043859649122807015%","patterns",1,"0.07936507936507936%","hemosiderosis",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","performed",1,"0.043859649122807015%","then",1,"0.07936507936507936%","non-demented",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","treatment",1,"0.043859649122807015%","undergo",1,"0.07936507936507936%","hematoma",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","decisions",1,"0.043859649122807015%","hours",1,"0.07936507936507936%","without",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","made",1,"0.043859649122807015%","in-lab",1,"0.07936507936507936%","mri",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","status",1,"0.043859649122807015%","nocturnal",1,"0.07936507936507936%","signs",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","social",1,"0.043859649122807015%","polysomnography",1,"0.07936507936507936%","favor",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","history",1,"0.043859649122807015%","npsg",1,"0.07936507936507936%","secondary",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","parameters",1,"0.043859649122807015%","stay",1,"0.07936507936507936%","objectives",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","six",1,"0.043859649122807015%","active",1,"0.07936507936507936%","among",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","among",1,"0.043859649122807015%","all",1,"0.07936507936507936%","micro-bleeds",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","group",1,"0.043859649122807015%","secured",1,"0.07936507936507936%","b",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","whose",1,"0.043859649122807015%","hospital",1,"0.07936507936507936%","leukoencephalopathy",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","results",1,"0.043859649122807015%","band",1,"0.07936507936507936%","c",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","conveyed",1,"0.043859649122807015%","assure",1,"0.07936507936507936%","contrast",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maintained",1,"0.043859649122807015%","remain",1,"0.07936507936507936%","virchow-robin",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","higher",1,"0.043859649122807015%","seep",1,"0.07936507936507936%","perivascular",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","addressing",1,"0.043859649122807015%","inside",1,"0.07936507936507936%","spaces",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aims",1,"0.043859649122807015%","machine",1,"0.07936507936507936%","d",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noted",1,"0.043859649122807015%","90",1,"0.07936507936507936%","apolipoprotein",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","above",1,"0.043859649122807015%","minutes",1,"0.07936507936507936%","e",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","further",1,"0.043859649122807015%","following",1,"0.07936507936507936%","genotypes",1,"0.16611295681063123%","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","described",1,"0.043859649122807015%","night",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","below",1,"0.043859649122807015%","usual",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","valuable",1,"0.043859649122807015%","bedtime",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feature",1,"0.043859649122807015%","established",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection",1,"0.043859649122807015%","morphologic",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rich",1,"0.043859649122807015%","diffusion",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","source",1,"0.043859649122807015%","kurtosis",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","address",1,"0.043859649122807015%","dki",1,"0.07936507936507936%","","","","","","","","","","","","","","","","","",""
