"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pre-clinical",1,"0.001157943492357573%","assemble",1,"0.0013883682507948407%","table",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","exhibits",1,"0.001157943492357573%","gains",1,"0.0013883682507948407%","sorted",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f-18",1,"0.001157943492357573%","expectancy",1,"0.0013883682507948407%","relevance",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","greatest",1,"0.001157943492357573%","mean",1,"0.0013883682507948407%","hr",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","visualize",1,"0.001157943492357573%","finish",1,"0.0013883682507948407%","r",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tissues",1,"0.001157943492357573%","pre-intervention",1,"0.0013883682507948407%","neutral",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","organs",1,"0.001157943492357573%","neck",1,"0.0013883682507948407%","lr",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","observation",1,"0.001157943492357573%","3-treatment",1,"0.0013883682507948407%","assumption",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ratio",1,"0.001157943492357573%","brochures",1,"0.0013883682507948407%","proportionally",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","suvr",1,"0.001157943492357573%","base",1,"0.0013883682507948407%","classification",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","semi-quantitatively",1,"0.001157943492357573%","finished",1,"0.0013883682507948407%","draft",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","miss",1,"0.001157943492357573%","viewing",1,"0.0013883682507948407%","identifies",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","blood-brain",1,"0.001157943492357573%","chooses",1,"0.0013883682507948407%","dns",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","passage",1,"0.001157943492357573%","agrees",1,"0.0013883682507948407%","profiling",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","liquid",1,"0.001157943492357573%","rollover",1,"0.006047411707789067%","achieved",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chromatography",1,"0.001157943492357573%","wn29922",1,"0.006047411707789067%","home-located",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hplc",1,"0.001157943492357573%","wn39658",1,"0.006047411707789067%","much",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","calibrate",1,"0.001157943492357573%","510",1,"0.006047411707789067%","context-dependent",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","free",1,"0.001157943492357573%","sub-cutaneously",1,"0.006047411707789067%","variable",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","estimating",1,"0.001157943492357573%","sc",1,"0.006047411707789067%","rmt",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","metabolic",1,"0.001157943492357573%","q2w",1,"0.006047411707789067%","insights",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","estimated",1,"0.001157943492357573%","uptitration",1,"0.006047411707789067%","monotonic",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pharmacokinetics",1,"0.001157943492357573%","multiple-ascending",1,"0.013976240391334731%","proportional",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","batches",1,"0.001157943492357573%","ro7126209",1,"0.013976240391334731%","worsen",1,"0.0010818412938821875%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","intolerance",1,"0.001157943492357573%","urgently",1,"0.0013296634621777228%","47",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mature",1,"0.001157943492357573%","sham-controlled",1,"0.0013296634621777228%","figure",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pet-related",1,"0.001157943492357573%","remotely-supervised",1,"0.0013296634621777228%","france",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subsequently",1,"0.001157943492357573%","debilitating",1,"0.0013296634621777228%","754",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","explored",1,"0.001157943492357573%","varied",1,"0.0013296634621777228%","813",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kinds",1,"0.001157943492357573%","controlling",1,"0.0013296634621777228%","garden",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vulnerable",1,"0.0038572806171648984%","burdens",1,"0.0013296634621777228%","alleviating",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","well-documented",1,"0.0038572806171648984%","eriksen",1,"0.0013296634621777228%","relieving",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","disparities",1,"0.0038572806171648984%","flanker",1,"0.0013296634621777228%","achieving",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","consequences",1,"0.0038572806171648984%","questionnaire-alzheimer",1,"0.0013296634621777228%","intrusive",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","responsibilities",1,"0.0038572806171648984%","diffusion-weighted",1,"0.0013296634621777228%","solutions",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pressing",1,"0.0038572806171648984%","dwi",1,"0.0013296634621777228%","minimal",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","translatable",1,"0.0038572806171648984%","covariance-based",1,"0.0013296634621777228%","constraints",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","accessed",1,"0.0038572806171648984%","analytic",1,"0.0013296634621777228%","non-randomized",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","convenience",1,"0.0038572806171648984%","lastly",1,"0.0013296634621777228%","lépine",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","user",1,"0.0038572806171648984%","2ma",1,"0.0013296634621777228%","versailles",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6-week",1,"0.0038572806171648984%","stay",1,"0.0013296634621777228%","centre",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","small-group",1,"0.0038572806171648984%","cyclase",1,"0.0023733238400379733%","la",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","self-management",1,"0.0038572806171648984%","sgc",1,"0.0023733238400379733%","porte",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","skills-building",1,"0.0038572806171648984%","stimulator",1,"0.0023733238400379733%","verte",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hybrid",1,"0.0038572806171648984%","boosts",1,"0.0023733238400379733%","les",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","effectiveness-implementation",1,"0.0038572806171648984%","nitric",1,"0.0023733238400379733%","magnolias",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","640",1,"0.0038572806171648984%","oxide-soluble",1,"0.0023733238400379733%","geriatric",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","strengths",1,"0.0038572806171648984%","cyclase-cyclic",1,"0.0023733238400379733%","instructions",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","weaknesses",1,"0.0038572806171648984%","guanosine",1,"0.0023733238400379733%","welcomed",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","re-aim",1,"0.0038572806171648984%","monophosphate",1,"0.0023733238400379733%","supervised",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pertinent",1,"0.0038572806171648984%","no-sgc-cgmp",1,"0.0023733238400379733%","reception",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","organizations",1,"0.0038572806171648984%","communicate",1,"0.0023733238400379733%","agreed",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","open",1,"0.0038572806171648984%","disrupted",1,"0.0023733238400379733%","carry",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","horizons",1,"0.0038572806171648984%","refers",1,"0.0023733238400379733%","offered",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","urban",1,"0.0038572806171648984%","vessels",1,"0.0023733238400379733%","animate",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","suburban",1,"0.0038572806171648984%","recover",1,"0.0023733238400379733%","workshops",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vad",1,"0.005299417064122946%","extensively",1,"0.0027109086965950986%","morning",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rising",1,"0.005299417064122946%","resource",1,"0.0027109086965950986%","afternoon",1,"0.0021984786527722813%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","carry",1,"0.005299417064122946%","non-genetic",1,"0.0027109086965950986%","seconds",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","international",1,"0.005299417064122946%","apoe2",1,"0.0027109086965950986%","late",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","guidelines",1,"0.005299417064122946%","homozygotes",1,"0.0027109086965950986%","shortages",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ageing",1,"0.005299417064122946%","lowest",1,"0.0027109086965950986%","complicated",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","construction",1,"0.005299417064122946%","heterozygotes",1,"0.0027109086965950986%","vocal",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rates",1,"0.005299417064122946%","hts",1,"0.0027109086965950986%","outbursts",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","precision",1,"0.005299417064122946%","spared",1,"0.0027109086965950986%","lose",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tracking",1,"0.005299417064122946%","rna",1,"0.0027109086965950986%","express",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neuro",1,"0.006572461386789352%","pbmcs",1,"0.0027109086965950986%","unmet",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","objectified",1,"0.006572461386789352%","mris",1,"0.0027109086965950986%","costly",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","optical",1,"0.006572461386789352%","sequencing",1,"0.0027109086965950986%","turnover",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","coherence",1,"0.006572461386789352%","wgs",1,"0.0027109086965950986%","mandates",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","angiography",1,"0.006572461386789352%","socially-assistive",1,"0.00277062034189455%","penalties",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","appear",1,"0.006572461386789352%","companionbot",1,"0.00277062034189455%","antipsychotic",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","proposing",1,"0.006572461386789352%","hereafter",1,"0.00277062034189455%","slightly",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ophthalmological",1,"0.006572461386789352%","lessen",1,"0.00277062034189455%","contraindicated",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","allow",1,"0.006572461386789352%","aesthetically",1,"0.00277062034189455%","pervasive",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","completely",1,"0.006572461386789352%","pleasing",1,"0.00277062034189455%","causing",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","morphology",1,"0.006572461386789352%","updated",1,"0.00277062034189455%","empirically",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","specify",1,"0.006572461386789352%","v2",1,"0.00277062034189455%","baby",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","complaint",1,"0.006572461386789352%","saint",1,"0.00277062034189455%","inappropriately",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neuropsychiatric",1,"0.0038197097020626434%","interacting",1,"0.00277062034189455%","intimate",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sequelae",1,"0.0038197097020626434%","recruits",1,"0.00277062034189455%","terms",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","non-pharmacological",1,"0.0038197097020626434%","idea",1,"0.00277062034189455%","endearment",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enrichment",1,"0.0038197097020626434%","-l-2'",1,"0.002278734846413271%","diminutives",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adults'",1,"0.0038197097020626434%","3'-dideoxy-3'-thiacytidine",1,"0.002278734846413271%","honey",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66",1,"0.0038197097020626434%","suppress",1,"0.002278734846413271%","belittling",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","durability",1,"0.0038197097020626434%","proof-of-concept",1,"0.002278734846413271%","pronoun",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","exogenous",1,"0.02028397565922921%","suppresses",1,"0.002278734846413271%","substitutions",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ketone",1,"0.02028397565922921%","24-week",1,"0.002278734846413271%","imply",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","salt",1,"0.02028397565922921%","disenrollment",1,"0.002278734846413271%","dependence",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","energy",1,"0.02028397565922921%","prioritized",1,"0.0017044195599188695%","bath",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","volumetric",1,"0.02028397565922921%","agitation-type",1,"0.0017044195599188695%","harsh",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","capitalizing",1,"0.0038073481819912427%","practitioner",1,"0.0017044195599188695%","task-oriented",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","thalidomide",1,"0.0038073481819912427%","news",1,"0.0017044195599188695%","commands",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","modulating",1,"0.0038073481819912427%","coordinated",1,"0.0017044195599188695%","sit",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","proper",1,"0.0038073481819912427%","evolution",1,"0.0017044195599188695%","conveys",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","window",1,"0.0038073481819912427%","person-al",1,"0.0017044195599188695%","message",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neuroinflammatory",1,"0.0038073481819912427%","multicentric",1,"0.0017044195599188695%","disrespect",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aspects",1,"0.0038073481819912427%","interventional",1,"0.0017044195599188695%","incompetence",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pervasive",1,"0.0038073481819912427%","parallel-group",1,"0.0017044195599188695%","react",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","interestingly",1,"0.0038073481819912427%","a-",1,"0.0017044195599188695%","r03",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","low-grade",1,"0.0038073481819912427%","prescription",1,"0.0017044195599188695%","instead",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mortality",1,"0.0038073481819912427%","b-",1,"0.0017044195599188695%","attending",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","factor-kappa",1,"0.0038073481819912427%","cost-utility",1,"0.0017044195599188695%","three-session",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tumor",1,"0.0038073481819912427%","perspective",1,"0.0017044195599188695%","onsite",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","necrosis",1,"0.0038073481819912427%","horizon",1,"0.0017044195599188695%","trainer",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alpha",1,"0.0038073481819912427%","physiotherapy",1,"0.003129009042836134%","logical",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","interleukins",1,"0.0038073481819912427%","implicit",1,"0.003129009042836134%","pilot-tested",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","il-1beta",1,"0.0038073481819912427%","pim",1,"0.003129009042836134%","anticipate",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","il-2",1,"0.0038073481819912427%","train",1,"0.003129009042836134%","skill",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","anti-cancer",1,"0.0038073481819912427%","attributed",1,"0.003129009042836134%","extending",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lowers",1,"0.0038073481819912427%","physiotherapist",1,"0.003129009042836134%","nationally",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","il-10",1,"0.0038073481819912427%","plane",1,"0.003129009042836134%","administrators",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","modulate",1,"0.0038073481819912427%","organize",1,"0.003129009042836134%","competitive",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","innate",1,"0.0038073481819912427%","twelve",1,"0.003129009042836134%","renewal",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","reduces",1,"0.0038073481819912427%","40-70",1,"0.00238231370306842%","resubmission",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18-month",1,"0.0038073481819912427%","gradual",1,"0.00238231370306842%","builds",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","two-armed",1,"0.0038073481819912427%","introduced",1,"0.00238231370306842%","nr011455",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","proof-of-mechanism",1,"0.0038073481819912427%","1990s",1,"0.00238231370306842%","demonstrating",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","washout",1,"0.0038073481819912427%","successfully",1,"0.00238231370306842%","3-session",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","comprise",1,"0.0011907597046915933%","youngest",1,"0.00238231370306842%","13",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lengths",1,"0.0011907597046915933%","electrophysiological",1,"0.00238231370306842%","asynchronous",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospitalization",1,"0.0011907597046915933%","enabling",1,"0.00238231370306842%","linear",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bathing",1,"0.0011907597046915933%","non-invasible",1,"0.00238231370306842%","120",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dressing",1,"0.0011907597046915933%","dysfunctions",1,"0.00238231370306842%","extracted",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fewer",1,"0.0011907597046915933%","usage",1,"0.00238231370306842%","maximize",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","shorter",1,"0.0011907597046915933%","assumes",1,"0.00238231370306842%","mixed-method",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unplanned",1,"0.0011907597046915933%","generative",1,"0.003811701924909472%","supports",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","readmissions",1,"0.0011907597046915933%","adversarial",1,"0.003811701924909472%","motivation",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","spend",1,"0.0011907597046915933%","gan",1,"0.003811701924909472%","incentives",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","inappropriate",1,"0.0011907597046915933%","kind",1,"0.003811701924909472%","evaluator",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rests",1,"0.0011907597046915933%","reflecting",1,"0.003811701924909472%","envelopment",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","recovery",1,"0.0011907597046915933%","state-of-the-art",1,"0.003811701924909472%","1-year",1,"0.0009867187654174806%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","willingness",1,"0.0011907597046915933%","simulate",1,"0.003811701924909472%","talks",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","teach",1,"0.0011907597046915933%","stereotypical",1,"0.003811701924909472%","patient-centered",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cue",1,"0.0011907597046915933%","intracerebral",1,"0.003811701924909472%","ultimately",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ecological",1,"0.0011907597046915933%","possessing",1,"0.003811701924909472%","helping",1,"0.003081474177246395%","","",""
