"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"","","","","","","","","","","","","produce",1,"0.0011455409817286214%","utilising",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","epilepsia",1,"0.0011455409817286214%","imperative",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","biogenesis",1,"0.0011455409817286214%","accurate",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","murin",1,"0.0011455409817286214%","reliable",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","medium",1,"0.0011455409817286214%","advantages",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","triglycerides",1,"0.0011455409817286214%","instance",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","diminution",1,"0.0011455409817286214%","efficient",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","neuropathologic",1,"0.0011455409817286214%","rapid",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","behavioural",1,"0.0011455409817286214%","fluids",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","effets",1,"0.0011455409817286214%","overcome",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","correct",1,"0.0011455409817286214%","kidney",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","followed-up",1,"0.0011455409817286214%","asymptomatic",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","adhesion",1,"0.0011455409817286214%","stages",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","alongside",1,"0.0011455409817286214%","pave",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","neurofibrillary",1,"0.0011455409817286214%","pathological",1,"0.0026652452025586353%","","","","","",""
"","","","","","","","","","","","","tangles",1,"0.0011455409817286214%","fifty",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","triggered",1,"0.0011455409817286214%","second",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","proinflammatory",1,"0.0011455409817286214%","vice",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","chemokines",1,"0.0011455409817286214%","versa",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","causing",1,"0.0011455409817286214%","ekg",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","turn",1,"0.0011455409817286214%","veteran",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","hyperglycemia",1,"0.0011455409817286214%","bid",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","leading",1,"0.0011455409817286214%","6-week",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","oxydative",1,"0.0011455409817286214%","suffering",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","insulinoresistance",1,"0.0011455409817286214%","cohen",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","igf-1",1,"0.0011455409817286214%","mansfield",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","kb",1,"0.0011455409817286214%","cmai",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","oxydation",1,"0.0011455409817286214%","reports",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","carbohydrate",1,"0.0011455409817286214%","electrocardiogram",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","slower",1,"0.0011455409817286214%","panel",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","drug-resistant",1,"0.0011455409817286214%","cmp",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","seizures",1,"0.0011455409817286214%","count",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","epileptic",1,"0.0011455409817286214%","cbc",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","children",1,"0.0011455409817286214%","urinalysis",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","publicized",1,"0.0011455409817286214%","ua",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","scarce",1,"0.0011455409817286214%","compliance",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","art",1,"0.0011455409817286214%","distress",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","against",1,"0.0011455409817286214%","nutritional",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","cultured",1,"0.0011455409817286214%","pain",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","protects",1,"0.0011455409817286214%","inflammation",1,"0.007598784194528876%","","","","","",""
"","","","","","","","","","","","","reversed",1,"0.0011455409817286214%","syndrome",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","aß",1,"0.0011455409817286214%","characterized",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","acting",1,"0.0011455409817286214%","failure",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","instead",1,"0.0011455409817286214%","basic",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","doubled",1,"0.0011455409817286214%","affects",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","surviving",1,"0.0011455409817286214%","20-50",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","3xtgad",1,"0.0011455409817286214%","mortality",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","suppressed",1,"0.0011455409817286214%","prolonged",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","ketogenic-fed",1,"0.0011455409817286214%","hospitalization",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","experienced",1,"0.0011455409817286214%","3-year",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","perfomance",1,"0.0011455409817286214%","survival",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","likewise",1,"0.0011455409817286214%","acutely",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","v717i",1,"0.0011455409817286214%","hospitalized",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","dogs",1,"0.0011455409817286214%","subsyndromal",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","ps1",1,"0.0011455409817286214%","complications",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","knock-in",1,"0.0011455409817286214%","coming",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","feasability",1,"0.0011455409817286214%","neurobiologically",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","high-fat",1,"0.0011455409817286214%","promotes",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","completers",1,"0.0011455409817286214%","arousal",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","adascog",1,"0.0011455409817286214%","adenosine",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","couple",1,"0.0011455409817286214%","receptor",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","mild-tomoderate",1,"0.0011455409817286214%","antagonism",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","apoe-e4",1,"0.0011455409817286214%","concurrent",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","nevertheless",1,"0.0011455409817286214%","cholinergic",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","flow",1,"0.0011455409817286214%","tone",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","paris",1,"0.0011455409817286214%","reduces",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","laribosière-fernand",1,"0.0011455409817286214%","postanesthesia",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","widal",1,"0.0011455409817286214%","pacu",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","3-tesla",1,"0.0011455409817286214%","non-cardiac",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","tep",1,"0.0011455409817286214%","optimizing",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","signing",1,"0.0011455409817286214%","dynamics",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","atkins",1,"0.0011455409817286214%","optimizes",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","clinicat",1,"0.0011455409817286214%","processes",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","dietitian",1,"0.0011455409817286214%","processing",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","comprise",1,"0.0011455409817286214%","aspects",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","strips",1,"0.0011455409817286214%","rebound",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","adsc-adl-pi",1,"0.0011455409817286214%","headache",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","sf-36",1,"0.0011455409817286214%","habitual",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","nuclear",1,"0.0011455409817286214%","positively",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","justification",1,"0.0011455409817286214%","impacts",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","mean",1,"0.0011455409817286214%","patient-reported",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","sd",1,"0.0011455409817286214%","correlates",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","calculation",1,"0.0011455409817286214%","advanced",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","topic",1,"0.0011455409817286214%","electroencephalographic",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","achievement",1,"0.0011455409817286214%","eeg",1,"0.010427528675703858%","","","","","",""
"","","","","","","","","","","","","ketonuria",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","instructions",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","dietitians",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","lists",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","recommandations",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","nutrition",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","programme",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","ethics",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","committee",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","comité",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","des",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","personnes",1,"0.0011455409817286214%","","","","","","","","",""
"","","","","","","","","","","","","adas-cog14",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","confirmatory",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","225",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","bed",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","preferably",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","2100h",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","2200h",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","differentiate",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","delayed-start",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","wherein",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","piromelatine-treated",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","placebo-randomized",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","started",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","ended",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","completing",1,"0.004925380485642516%","","","","","","","","",""
"","","","","","","","","","","","","improvised",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","calm-inducing",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","sound",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","sound-based",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","autobiographical",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","wider",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","applicability",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","generalizability",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","ad-a",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","familiar",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","answer",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","emotion",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","neurotypical",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","induce",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","justify",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","usage",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","improvisation",1,"0.006027727546714888%","","","","","","","","",""
"","","","","","","","","","","","","adrd-related",1,"0.038358266206367474%","","","","","","","","",""
"","","","","","","","","","","","","mainly",1,"0.038358266206367474%","","","","","","","","",""
"","","","","","","","","","","","","bacteria",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","commonplace",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","physiology",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","frequency",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","closely",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","prodromal",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","carrying",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","apolipoprotein",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","e4",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","run-in",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","consecutive",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","washout",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","in-between",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","stools",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","readout",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","mediators",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","gut-brain",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","axis",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","curves",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","readouts",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","built",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","analytes",1,"0.004723219346306443%","","","","","","","","",""
"","","","","","","","","","","","","cortico-striatal",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","doing",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","intractable",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","addressable",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","rule",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","maintenance",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","flexibility",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","set-shifting",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","consummatory",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","cognitive-behavioral",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","mapped",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","fronto-striatal",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","map",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","prefrontal-striatal",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","loops",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","localizable",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","striatum",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","anterior",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","cingulate",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","acc",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","ventromedial",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","orbitofrontal",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","ofc",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","dopamine",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","supports",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","voluminous",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","encoding",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","prediction",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","receives",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","dense",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","monosynaptic",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","dopaminergic",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","tegmental",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","invoked",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","meso-cortico-limbic",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","exhibit",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","transmission",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","neurochemical",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","resting-state",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","cortically",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","node",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","monoaminergic",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","neurotransmitter",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","intermittent",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","theta",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","burst",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","tonic",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","endogenous",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","blocked",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","topographically",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","elicited",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","instance",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","strafella",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","rtms-11c-",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","employing",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","mri-pet",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","11c-raclopride",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","underwent",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","adjacent",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","putamen",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","seeded",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","coordinates",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","derived",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","datasets",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","modeled",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","e-",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","distributions",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","predicted",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","potentials",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","occurring",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","acquired",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","multi-band",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","basis",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","mofc",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","e-field",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","coil",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","orientation",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","diffusion",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","tractography",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","matter",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","bundles",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","modulation",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","portions",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","vental",1,"0.0013940779568393463%","","","","","","","","",""
"","","","","","","","","","","","","starts",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","scientists",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","gets",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","swollen",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","permanent",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","damages",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","getting",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","worse",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","watching",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","inside",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","special",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","problem",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","catch",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","vague",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","players",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","kinds",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","mathematical",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","traumatic",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","depressive",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","schizophrenia",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","imaged",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","difficult",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","interpret",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","monoamine",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","oxidase",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","type-b",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","serotonin",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","5-ht",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","-releasing",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","prototype",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","11c-l-deprenyl",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","detects",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","astrogliosis",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","okamura",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","radiation-absorbed",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","ratios",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","specific-to-nondisplaceable",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","blockade",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","reproducibility",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","measuring",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","11c-er176",1,"0.002546927132414742%","","","","","","","","",""
"","","","","","","","","","","","","intrathecal",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","170-day",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","in-clinic",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","examinations",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","ecgs",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","hematology",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","chemistry",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","urinalysis",1,"0.009889240506329115%","","","","","","","","",""
"","","","","","","","","","","","","subcutaneously",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","vivo",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","vitro",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","inhibits",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","neurotoxicity",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","apoptosis",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","reactive",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","oxygen",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","mimicking",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","extra-telomeric",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","telomerase",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","transcriptase",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","htert",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","nonclinical",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","amount",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","proteins",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","multifunctional",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","makes",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","option",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","korea",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","battery",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","acceptable",1,"0.0016503556516429291%","","","","","","","","",""
