"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"","","","","","","","","","","","","","","","","","","","","","injured",1,"0.015494267121165169%","prevented",1,"0.011279043537108053%","whole",1,"0.004656360588563979%","","","","tablets",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","unique",1,"0.015494267121165169%","vitro",1,"0.011279043537108053%","except",1,"0.004656360588563979%","","","","computers",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","gap",1,"0.015494267121165169%","concentration",1,"0.011279043537108053%","urgencies",1,"0.004656360588563979%","","","","tbi-related",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","therefore",1,"0.015494267121165169%","distinguishes",1,"0.011279043537108053%","t6",1,"0.004656360588563979%","","","","included",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","controlling",1,"0.015494267121165169%","senile",1,"0.011279043537108053%","42",1,"0.004656360588563979%","","","","develop",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","co-morbidities",1,"0.015494267121165169%","pointing",1,"0.011279043537108053%","collected",1,"0.004656360588563979%","","","","makers",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","socioeconomic",1,"0.015494267121165169%","onset",1,"0.011279043537108053%","drf",1,"0.004656360588563979%","","","","organizational",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","pre-injury",1,"0.015494267121165169%","keeping",1,"0.011279043537108053%","fcsrt",1,"0.004656360588563979%","","","","leaders",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","defining",1,"0.015494267121165169%","demonstrated",1,"0.011279043537108053%","dna",1,"0.004656360588563979%","","","","fund",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","real-world",1,"0.015494267121165169%","label",1,"0.011279043537108053%","extraction",1,"0.004656360588563979%","","","","communities",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","explained",1,"0.015494267121165169%","entorhinal",1,"0.011279043537108053%","apoe",1,"0.004656360588563979%","","","","facing",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","adjusted",1,"0.015494267121165169%","cortex",1,"0.011279043537108053%","typing",1,"0.004656360588563979%","","","","150",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","social",1,"0.015494267121165169%","co-localize",1,"0.011279043537108053%","puncture",1,"0.004656360588563979%","","","","virginians",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","accordingly",1,"0.015494267121165169%","degenerating",1,"0.011279043537108053%","beta",1,"0.004656360588563979%","","","","cared",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","second",1,"0.015494267121165169%","populations",1,"0.011279043537108053%","metabolites",1,"0.004656360588563979%","","","","assistance",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","delineate",1,"0.015494267121165169%","filled",1,"0.011279043537108053%","connectivity",1,"0.004656360588563979%","","","","capabilities",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","lastly",1,"0.015494267121165169%","fragments",1,"0.011279043537108053%","graph",1,"0.004656360588563979%","","","","array",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","pathogenesis",1,"0.015494267121165169%","aβx-40",1,"0.011279043537108053%","theory",1,"0.004656360588563979%","","","","biopsychosocial",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","explore",1,"0.015494267121165169%","component",1,"0.011279043537108053%","hippocampal",1,"0.004656360588563979%","","","","undermine",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","mechanistic",1,"0.015494267121165169%","arteries",1,"0.011279043537108053%","volumetry",1,"0.004656360588563979%","","","","unprepared",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","seeks",1,"0.02685284640171858%","causing",1,"0.011279043537108053%","18f",1,"0.004656360588563979%","","","","unmanaged",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","geriatric",1,"0.02685284640171858%","angiopathy",1,"0.011279043537108053%","aging",1,"0.014172335600907028%","","","","institutional",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","objective",1,"0.02685284640171858%","caa",1,"0.011279043537108053%","enrolling",1,"0.014172335600907028%","","","","body",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","fully",1,"0.02685284640171858%","80-90",1,"0.011279043537108053%","oral",1,"0.014172335600907028%","","","","associates",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","characterize",1,"0.02685284640171858%","see",1,"0.011279043537108053%","hormonal",1,"0.014172335600907028%","","","","injury",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","frail",1,"0.02685284640171858%","lacosta",1,"0.011279043537108053%","choice",1,"0.014172335600907028%","","","","history",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","impaired",1,"0.02685284640171858%","et",1,"0.011279043537108053%","personal",1,"0.014172335600907028%","","","","putting",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","monocentric",1,"0.02685284640171858%","al",1,"0.011279043537108053%","pathophysiology",1,"0.014172335600907028%","","","","proven",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","integrating",1,"0.02685284640171858%","2018",1,"0.011279043537108053%","17β-estradiol",1,"0.014172335600907028%","","","","beneficial",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","345",1,"0.02685284640171858%","doi",1,"0.011279043537108053%","te2",1,"0.014172335600907028%","","","","competing",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","consists",1,"0.02685284640171858%","1186",1,"0.011279043537108053%","ocee",1,"0.014172335600907028%","","","","conflict",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","neuroimaging",1,"0.02685284640171858%","s13195-018-0340-8",1,"0.011279043537108053%","window",1,"0.014172335600907028%","","","","consistent",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","diagnose",1,"0.02685284640171858%","considering",1,"0.011279043537108053%","differences",1,"0.014172335600907028%","","","","others",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","brains",1,"0.02685284640171858%","therapies",1,"0.011279043537108053%","lesion",1,"0.014172335600907028%","","","","located",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","permit",1,"0.02685284640171858%","vaccine",1,"0.011279043537108053%","load",1,"0.014172335600907028%","","","","rural",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","earlier",1,"0.02685284640171858%","confirm",1,"0.011279043537108053%","postmenopausal",1,"0.014172335600907028%","","","","areas",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","detection",1,"0.02685284640171858%","a-mci",1,"0.011279043537108053%","mhts",1,"0.014172335600907028%","","","","specialized",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","pet-scan",1,"0.02685284640171858%","vm-ad",1,"0.011279043537108053%","continuation",1,"0.014172335600907028%","","","","surmount",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","measurements",1,"0.02685284640171858%","mm-ad",1,"0.011279043537108053%","kronos",1,"0.014172335600907028%","","","","countervail",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","depending",1,"0.02685284640171858%","aimed",1,"0.011279043537108053%","nationwide",1,"0.014172335600907028%","","","","propose",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","relevance",1,"0.02685284640171858%","characterize",1,"0.011279043537108053%","multi-center",1,"0.014172335600907028%","","","","service",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","biobank",1,"0.02685284640171858%","elicited",1,"0.011279043537108053%","blinded",1,"0.014172335600907028%","","","","reactions",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","visit",1,"0.02685284640171858%","explore",1,"0.011279043537108053%","investigation",1,"0.014172335600907028%","","","","comparable",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","end",1,"0.02685284640171858%","strongest",1,"0.022893772893772892%","six-week",1,"0.014172335600907028%","","","","includes",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","cogfrail-plus",1,"0.02685284640171858%","reduced",1,"0.022893772893772892%","interval",1,"0.014172335600907028%","","","","certain",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","integrate",1,"0.02685284640171858%","prevent",1,"0.022893772893772892%","2-",1,"0.014172335600907028%","","","","external",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","initial",1,"0.02685284640171858%","arachidonic",1,"0.022893772893772892%","completing",1,"0.014172335600907028%","","","","locus",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","42",1,"0.02685284640171858%","aa",1,"0.022893772893772892%","neurocognitive",1,"0.014172335600907028%","","","","lower",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","184",1,"0.022893772893772892%","ecg",1,"0.014172335600907028%","","","","hope",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","mixed",1,"0.022893772893772892%","remote",1,"0.052521008403361345%","","","","self-perceived",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","asks",1,"0.022893772893772892%","phone",1,"0.052521008403361345%","","","","aptitude",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","question",1,"0.022893772893772892%","zoom",1,"0.052521008403361345%","","","","negatively",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","gets",1,"0.022893772893772892%","calls",1,"0.052521008403361345%","","","","reductions",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","sufficient",1,"0.022893772893772892%","experiences",1,"0.052521008403361345%","","","","unnecessary",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","penetrance",1,"0.022893772893772892%","paper",1,"0.052521008403361345%","","","","impart",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","368",1,"0.022893772893772892%","online",1,"0.052521008403361345%","","","","sustained",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","dyadic-based",1,"0.006037918125830214%","surveys",1,"0.052521008403361345%","","","","relative",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","state-of-the",1,"0.006037918125830214%","interactive",1,"0.052521008403361345%","","","","responses",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","art",1,"0.006037918125830214%","monitoring",1,"0.052521008403361345%","","","","reduces",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","feature",1,"0.006037918125830214%","observed",1,"0.052521008403361345%","","","","unplanned",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","investigation",1,"0.006037918125830214%","interacting",1,"0.052521008403361345%","","","","unblinded",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","integration",1,"0.006037918125830214%","worn",1,"0.052521008403361345%","","","","investigating",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","emphasize",1,"0.006037918125830214%","six",1,"0.052521008403361345%","","","","follow",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","trajectory",1,"0.006037918125830214%","generally",1,"0.052521008403361345%","","","","longevity",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","hundred",1,"0.006037918125830214%","lasts",1,"0.052521008403361345%","","","","enroll",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","forty",1,"0.006037918125830214%","minutes",1,"0.052521008403361345%","","","","collect",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","hispanic",1,"0.006037918125830214%","wait-list",1,"0.008229098090849244%","","","","12-",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","african",1,"0.006037918125830214%","relatively",1,"0.008229098090849244%","","","","18-month",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","american",1,"0.006037918125830214%","simple",1,"0.008229098090849244%","","","","prolonged",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","caucasian",1,"0.006037918125830214%","broad",1,"0.008229098090849244%","","","","implications",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","12-month",1,"0.006037918125830214%","inclusion",1,"0.008229098090849244%","","","","community",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","follow-ups",1,"0.006037918125830214%","exclusion",1,"0.008229098090849244%","","","","lead",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","indices",1,"0.006037918125830214%","kaiser",1,"0.008229098090849244%","","","","prolong",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","distress",1,"0.006037918125830214%","permanente",1,"0.008229098090849244%","","","","keep",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","gathered",1,"0.006037918125830214%","colorado",1,"0.008229098090849244%","","","","loved",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","ethnic",1,"0.006037918125830214%","kpco",1,"0.008229098090849244%","","","","ones",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","assign",1,"0.006037918125830214%","activation",1,"0.008229098090849244%","","","","payment",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","246",1,"0.006037918125830214%","sending",1,"0.008229098090849244%","","","","va",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","promotion",1,"0.006037918125830214%","brochure",1,"0.008229098090849244%","","","","dissemination",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","home-based",1,"0.006037918125830214%","increasing",1,"0.008229098090849244%","","","","local",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","occur",1,"0.006037918125830214%","sheets",1,"0.008229098090849244%","","","","finance",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","beginning",1,"0.006037918125830214%","offices",1,"0.008229098090849244%","","","","decisions",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","interested",1,"0.006037918125830214%","denver-boulder",1,"0.008229098090849244%","","","","growing",1,"0.006256256256256257%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","contact",1,"0.006037918125830214%","service",1,"0.008229098090849244%","","","","seek",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","email",1,"0.006037918125830214%","members",1,"0.008229098090849244%","","","","form",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","seeing",1,"0.006037918125830214%","appointments",1,"0.008229098090849244%","","","","key",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","flyer",1,"0.006037918125830214%","pcps",1,"0.008229098090849244%","","","","teletherapy",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","posted",1,"0.006037918125830214%","scheduled",1,"0.008229098090849244%","","","","epidemic",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","various",1,"0.006037918125830214%","clinics",1,"0.008229098090849244%","","","","affects",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","wcm",1,"0.006037918125830214%","fm",1,"0.008229098090849244%","","","","recommended",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","nyp",1,"0.006037918125830214%","presentation",1,"0.008229098090849244%","","","","uk",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","locations",1,"0.006037918125830214%","meeting",1,"0.008229098090849244%","","","","government",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","irving",1,"0.006037918125830214%","beginning",1,"0.008229098090849244%","","","","85",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","sherwood",1,"0.006037918125830214%","periodic",1,"0.008229098090849244%","","","","nhs",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","wright",1,"0.006037918125830214%","sheet",1,"0.008229098090849244%","","","","offered",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","associates",1,"0.006037918125830214%","updates",1,"0.008229098090849244%","","","","unfortunately",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","trained",1,"0.006037918125830214%","managing",1,"0.008229098090849244%","","","","lockdown",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","permission",1,"0.006037918125830214%","situations",1,"0.008229098090849244%","","","","even",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","ask",1,"0.006037918125830214%","notification",1,"0.008229098090849244%","","","","though",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","eligibility",1,"0.006037918125830214%","staff",1,"0.008229098090849244%","","","","disproportionately",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","ineligible",1,"0.006037918125830214%","message",1,"0.008229098090849244%","","","","pressing",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","deleted",1,"0.006037918125830214%","sent",1,"0.008229098090849244%","","","","demand",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","appointment",1,"0.006037918125830214%","appointment",1,"0.008229098090849244%","","","","post-pandemic",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","ras",1,"0.006037918125830214%","inappropriate",1,"0.008229098090849244%","","","","sensory",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","participants'",1,"0.006037918125830214%","bleeding",1,"0.008229098090849244%","","","","lack",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","preferred",1,"0.006037918125830214%","hypoglycemic",1,"0.008229098090849244%","","","","transport",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","qualtrics",1,"0.006037918125830214%","reductions",1,"0.008229098090849244%","","","","seventeen",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","online",1,"0.006037918125830214%","dosage",1,"0.008229098090849244%","","","","17",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","administer",1,"0.006037918125830214%","selected",1,"0.008229098090849244%","","","","tau",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","series",1,"0.006037918125830214%","benzodiazepines",1,"0.008229098090849244%","","","","pre-and",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","adls",1,"0.006037918125830214%","opioids",1,"0.008229098090849244%","","","","post-test",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","aidls",1,"0.006037918125830214%","anti-psychotics",1,"0.008229098090849244%","","","","prevalence",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","amount",1,"0.006037918125830214%","emergency",1,"0.008229098090849244%","","","","projected",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","available",1,"0.006037918125830214%","department",1,"0.008229098090849244%","","","","152",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","continuing",1,"0.006037918125830214%","skilled",1,"0.008229098090849244%","","","","pandemic",1,"0.016339869281045753%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","loved",1,"0.006037918125830214%","neuroprotective",1,"0.028571428571428574%","","","","iia",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","ones",1,"0.006037918125830214%","threonine",1,"0.028571428571428574%","","","","rotigotine",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","executive",1,"0.006037918125830214%","p-tau",1,"0.028571428571428574%","","","","transdermal",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","trails",1,"0.006037918125830214%","rating",1,"0.028571428571428574%","","","","dosage",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","letters",1,"0.006037918125830214%","sum",1,"0.028571428571428574%","","","","behavioural",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","number",1,"0.006037918125830214%","attention",1,"0.028571428571428574%","","","","frontotemporal",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","processing",1,"0.006037918125830214%","domain",1,"0.028571428571428574%","","","","diagnosis",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","speed",1,"0.006037918125830214%","composite",1,"0.028571428571428574%","","","","probable",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","digit",1,"0.006037918125830214%","cfc",1,"0.028571428571428574%","","","","4mg",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","symbol",1,"0.006037918125830214%","ad-related",1,"0.028571428571428574%","","","","6mg",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","verbal",1,"0.006037918125830214%","volumetric",1,"0.028571428571428574%","","","","measurements",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","category",1,"0.006037918125830214%","vmri",1,"0.028571428571428574%","","","","ambition",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","computer-based",1,"0.006037918125830214%","theta",1,"0.028571428571428574%","","","","first-time",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","suite",1,"0.006037918125830214%","laboratory",1,"0.028571428571428574%","","","","dopamine-based",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","tasks",1,"0.006037918125830214%","double",1,"0.10822510822510822%","","","","employ",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","atm",1,"0.006037918125830214%","blind",1,"0.10822510822510822%","","","","neuropsychiatric",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","prescription",1,"0.006037918125830214%","immunogenicity",1,"0.10822510822510822%","","","","npi",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","refill",1,"0.006037918125830214%","vaccines",1,"0.10822510822510822%","","","","fbi",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","filling",1,"0.006037918125830214%","dementias",1,"0.006254691018263698%","","","","scale-frontotemporal",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","completed",1,"0.006037918125830214%","give",1,"0.006254691018263698%","","","","cdr-ftd",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","protocol",1,"0.006037918125830214%","several",1,"0.006254691018263698%","","","","sob",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","allows",1,"0.006037918125830214%","ways",1,"0.006254691018263698%","","","","fab",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","multiple",1,"0.006037918125830214%","costly",1,"0.006254691018263698%","","","","aphasia",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","written",1,"0.006037918125830214%","difficult",1,"0.006254691018263698%","","","","neurodegeneration",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","hipaa",1,"0.006037918125830214%","punctures",1,"0.006254691018263698%","","","","sand",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","authorization",1,"0.006037918125830214%","sort",1,"0.006254691018263698%","","","","cooperative",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","begin",1,"0.006037918125830214%","contains",1,"0.006254691018263698%","","","","adcs-adl",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","unless",1,"0.006037918125830214%","performs",1,"0.006254691018263698%","","","","addenbrooke",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","signed",1,"0.006037918125830214%","pathology",1,"0.006254691018263698%","","","","examination",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","tool",1,"0.006037918125830214%","decades",1,"0.006254691018263698%","","","","revised",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","added",1,"0.006037918125830214%","become",1,"0.006254691018263698%","","","","ace-r",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","sure",1,"0.006037918125830214%","apparent",1,"0.006254691018263698%","","","","perform",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","facilities",1,"0.012367054167697254%","starting",1,"0.006254691018263698%","","","","scans",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","half",1,"0.012367054167697254%","substantial",1,"0.006254691018263698%","","","","starting",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","familiar",1,"0.012367054167697254%","instead",1,"0.006254691018263698%","","","","investigations",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","routines",1,"0.012367054167697254%","targeting",1,"0.006254691018263698%","","","","performed",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","difficulty",1,"0.012367054167697254%","earlier",1,"0.006254691018263698%","","","","quantifiable",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","expressing",1,"0.012367054167697254%","pathological",1,"0.006254691018263698%","","","","underlying",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","thoughts",1,"0.012367054167697254%","likelihood",1,"0.006254691018263698%","","","","dopamine",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","asking",1,"0.012367054167697254%","preventing",1,"0.006254691018263698%","","","","agonist",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","overstimulation",1,"0.012367054167697254%","delaying",1,"0.006254691018263698%","","","","particular",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","noise",1,"0.012367054167697254%","onset",1,"0.006254691018263698%","","","","multimodal",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","display",1,"0.012367054167697254%","identifies",1,"0.006254691018263698%","","","","tools",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","resisting",1,"0.012367054167697254%","requires",1,"0.006254691018263698%","","","","tms-emg",1,"0.012428535918468804%","","",""
